,Date,Variable,Value
801,09/03/2018,SO2,0.013
802,10/03/2018,SO2,0.01
803,10/03/2018,SO2,0.03
804,10/03/2018,SO2,0.022
805,11/03/2018,SO2,0.009000000000000001
806,12/03/2018,SO2,0.014
807,12/03/2018,SO2,0.016
808,12/03/2018,SO2,0.006
809,13/03/2018,SO2,0.006
810,13/03/2018,SO2,0.01
811,13/03/2018,SO2,0.009000000000000001
812,13/03/2018,SO2,0.005
813,14/03/2018,SO2,0.008
814,14/03/2018,SO2,0.01
815,14/03/2018,SO2,0.006
816,15/03/2018,SO2,0.005
817,15/03/2018,SO2,0.006
818,15/03/2018,SO2,0.019
819,15/03/2018,SO2,0.003
820,16/03/2018,SO2,0.01
821,16/03/2018,SO2,0.006
822,16/03/2018,SO2,0.008
823,16/03/2018,SO2,0.002
824,17/03/2018,SO2,0.005
825,17/03/2018,SO2,0.002
826,17/03/2018,SO2,0.01
827,17/03/2018,SO2,0.006
828,18/03/2018,SO2,0.009000000000000001
829,19/03/2018,SO2,0.003
830,19/03/2018,SO2,0.005
831,19/03/2018,SO2,0.021
832,19/03/2018,SO2,0.042
833,20/03/2018,SO2,0.01
834,20/03/2018,SO2,0.005
835,20/03/2018,SO2,0.006
836,20/03/2018,SO2,0.003
837,21/03/2018,SO2,0.009000000000000001
838,22/03/2018,SO2,0.009000000000000001
839,23/03/2018,SO2,0.009000000000000001
840,24/03/2018,SO2,0.006
841,24/03/2018,SO2,0.005
842,24/03/2018,SO2,0.024
843,24/03/2018,SO2,0.002
844,25/03/2018,SO2,0.009000000000000001
845,26/03/2018,SO2,0.006
846,26/03/2018,SO2,0.002
847,26/03/2018,SO2,0.035
848,26/03/2018,SO2,0.003
849,27/03/2018,SO2,0.002
850,27/03/2018,SO2,0.008
851,27/03/2018,SO2,0.003
852,28/03/2018,SO2,0.005
853,28/03/2018,SO2,0.003
854,28/03/2018,SO2,0.002
855,28/03/2018,SO2,0.009000000000000001
856,29/03/2018,SO2,0.002
857,29/03/2018,SO2,0.009000000000000001
858,29/03/2018,SO2,0.008
859,30/03/2018,SO2,0.008
860,30/03/2018,SO2,0.003
861,31/03/2018,SO2,0.01
862,31/03/2018,SO2,0.012
863,31/03/2018,SO2,0.045
864,31/03/2018,SO2,0.006999999999999999
865,01/04/2018,SO2,0.009000000000000001
866,02/04/2018,SO2,0.022
867,02/04/2018,SO2,0.012
868,02/04/2018,SO2,0.009000000000000001
869,03/04/2018,SO2,0.003
870,03/04/2018,SO2,0.01
871,03/04/2018,SO2,0.005
872,04/04/2018,SO2,0.013
873,04/04/2018,SO2,0.008
874,04/04/2018,SO2,0.005
875,05/04/2018,SO2,0.009000000000000001
876,05/04/2018,SO2,0.037000000000000005
